@relation slashdot
%
% structure feature
@attribute Hybrid_Content_Stemmer_StopwordRemove_CosineSim real
@attribute Hybrid_Content_Stemmer_StopwordRemove_KLDiv real
%
% sns feature
@attribute directedunweighted_auth real
@attribute directedunweighted_cumIndeg real
@attribute directedunweighted_cumOudeg real
@attribute directedunweighted_hub real
@attribute DirectedUnweighted_NeighborSim_CosineSim real
@attribute directedunweighted_pagerank real
@attribute DirectedUnweighted_Reciprocity real
@attribute DirectedWeighted_auth real
@attribute DirectedWeighted_AvgInDeg real
@attribute DirectedWeighted_AvgOuDeg real
@attribute DirectedWeighted_CumInDeg real
@attribute DirectedWeighted_CumOuDeg real
@attribute DirectedWeighted_hub real
@attribute DirectedWeighted_NeighborSim_CosineSim real
@attribute DirectedWeighted_NormFrequency real
@attribute DirectedWeighted_PageRank real
@attribute DirectedWeighted_Reciprocity real
@attribute UndirectedUnweighted_Authority real
@attribute UndirectedUnweighted_AvgInDeg real
@attribute UndirectedUnweighted_AvgOuDeg real
@attribute UndirectedUnweighted_CumInDeg real
@attribute UndirectedUnweighted_CumOuDeg real
@attribute UndirectedUnweighted_Hub real
@attribute UndirectedUnweighted_NeighborSim_CosineSim real
@attribute UndirectedUnweighted_NormFrequency real
@attribute UndirectedUnweighted_PageRank real
@attribute UndirectedWeighted_Authority real
@attribute UndirectedWeighted_AvgInDeg real
@attribute UndirectedWeighted_AvgOuDeg real
@attribute UndirectedWeighted_CumInDeg real
@attribute UndirectedWeighted_CumOuDeg real
@attribute UndirectedWeighted_Hub real
@attribute UndirectedWeighted_NeighborSim_CosineSim real
@attribute UndirectedWeighted_NormFrequency real
@attribute UndirectedWeighted_PageRank real
%
% text feature
@attribute content_charactercomplexity_noremove real
@attribute content_charactercomplexity_stopwordremove real
@attribute content_length_stopwordremove real
@attribute word_avelength_stopwordremove real
@attribute word_maxlength_stopwordremove real
%
% mean score of author
% attribute mean_score real
%
% credit of author
@attribute credit4author {yes,no}
%
@data
0.127572976668769,0.927841592193428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.68323464401573,-2.43521297983411,5.0,5.0,7.0,no
0.0593390829096927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.92204932764433,-2.92154317528972,80.0,6.3125,13.0,no
0.03600115205529895,0.2168980461960865,0.0,0.0,1.0,5.4719697841749E-5,0.0,2.33379490610365E-6,1.0,0.0,0.0,1.0,0.0,1.0,5.4719697841749E-5,0.0,1.0,2.33379490610365E-6,1.0,4.59159511170824E-5,0.0,1.0,1.0,1.0,4.59159511170824E-5,0.0,1.0,3.0449423929184E-6,4.59159511170824E-5,1.0,1.0,1.0,1.0,4.59159511170824E-5,0.0,1.0,2.90065873215375E-6,-2.772537273309175,-2.731900458855815,12.5,5.84027777777778,10.0,no
0.165144564768954,0.190378175536223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.88710690494666,-2.88197721503988,20.0,5.55,10.0,no
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.77797986425045,-2.71569332909123,19.0,8.31578947368421,11.0,no
0.603022689155527,0.0,0.0,0.0,1.0,1.06519509694473E-5,0.267261241912424,2.33379490610365E-6,1.0,0.0,0.0,1.0,0.0,1.0,1.06519509694473E-5,0.21320071635561,1.0,2.33379490610365E-6,1.0,9.66240026768451E-6,0.0,1.0,1.0,1.0,9.66240026768451E-6,0.21320071635561,1.0,3.21516248704912E-6,9.66240026768451E-6,1.0,1.0,1.0,1.0,9.66240026768451E-6,0.277350098112615,1.0,3.00495463343414E-6,-2.83977354607972,-2.82751311049397,16.0,5.125,14.0,no
0.03242054534017697,0.1395648679928283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6382639501966403,-2.4843998513224226,11.142857142857142,5.707983193277312,9.0,no
0.02008048322256245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.58700184178568,-2.4704938086793504,33.5,5.25,9.0,no
0.15531369849072701,0.43171119424097104,1.19625299739884E-5,1.0,2.0,1.17806307585513E-4,0.0,2.8673184310927E-6,1.0,1.19625299739884E-5,1.0,1.0,1.0,2.0,1.17806307585513E-4,0.0,0.5,2.84685049365733E-6,1.0,1.04848908581572E-4,1.0,1.0,3.0,3.0,1.04848908581572E-4,0.0,0.333333333333333,4.95171719500256E-6,1.04848908581572E-4,1.0,1.0,3.0,3.0,1.04848908581572E-4,0.0,0.333333333333333,4.41944107763179E-6,-2.74275942527846,-2.589251443146225,6.5,5.25,7.5,no
0.0990147542976674,0.173575645804693,1.30559585729187E-5,1.0,1.0,2.69766678400962E-4,0.105999788000636,3.03926270922158E-6,1.0,1.30559585729187E-5,1.0,1.0,1.0,1.0,2.69766678400962E-4,0.17817416127495,1.0,2.99734006770318E-6,1.0,1.46401002638327E-4,1.0,1.0,2.0,2.0,1.46401002638327E-4,0.0356235249939548,0.5,3.82662925600014E-6,1.46401002638327E-4,1.0,1.0,2.0,2.0,1.46401002638327E-4,0.105336130629945,0.5,3.50571356688611E-6,-2.75530531472623,-2.60720819238703,5.0,6.0,10.0,no
